i,t,treat,x1,x2,y
1,1,0,2.11687390272332,1.46476856796113,4.4239551869233
2,1,0,2.4836362665934,2.55744966789692,8.65047379881838
3,1,0,2.99860429641381,6.54843396005794,12.3893509727106
4,1,0,4.64799704383023,5.43716170169913,15.6945466098574
5,1,0,5.27974372503891,7.59058552740339,17.7126419686812
6,1,0,6.35632198459687,9.84354640055418,23.8092562494791
7,1,0,8.08852117303912,9.89716738916324,24.8280012784412
8,1,0,8.75463843622744,14.4152067780442,32.7792330785997
9,1,0,9.34568939824534,13.9574841735679,32.1454862880521
10,1,0,9.48223728074696,15.9067052536371,36.9983303987122
11,1,0,11.219738706236,20.0453194260811,42.1073708485559
12,1,0,10.3906795203199,15.2507464976718,39.2508138823197
13,1,0,12.7188556529195,21.7168296583019,47.2779980274603
14,1,0,13.3442138206202,18.9195740983581,47.8731757833063
15,1,0,15.2465078506472,22.9519095016632,53.0407300685493
16,1,0,14.5873227684263,22.1353953151729,54.3321059479273
17,1,0,15.8351659598072,24.3137613657158,56.9912400417619
18,1,0,17.9339788467103,28.1047924796755,65.6481591907139
19,1,0,18.3221849929733,25.7998546339728,62.964352343185
20,1,0,20.5118262198107,29.9847330397438,72.1059471238826
21,1,0,21.3057645115451,27.1583920417172,69.3064692695011
22,1,0,23.1633021899633,34.0163705133485,80.7890605676399
23,1,0,23.2495556804073,35.2140150755931,81.3058834722392
24,1,0,24.177522728856,36.787456195911,86.5743667890951
25,1,0,24.5490022982894,38.513436238149,87.9047512526772
26,1,0,26.8634828687437,37.6179974777891,92.0908682108608
27,1,0,28.5173723507591,39.206394858282,94.5660799252799
28,1,0,27.7227476306386,38.3879012448668,95.7200367398334
29,1,0,30.3157557876293,42.4512914436962,101.609359947564
30,1,0,29.7180778444617,44.5117340131764,105.839199721966
31,1,0,29.7815411183801,45.5338153330731,106.157669167692
32,1,0,32.9280458108589,48.1269266579964,114.664360333183
33,1,0,33.7365221878085,49.1267148753477,115.705549779395
34,1,0,33.9815583868592,48.6357868920411,118.226733143228
35,1,0,35.9101956338186,52.3453797872028,123.09788813726
36,1,0,35.7269171423822,54.9560382706388,128.292343277349
37,1,0,36.2454659106028,52.6637942005267,125.751572827368
38,1,0,38.6776701893147,55.8229285837951,134.109986637438
39,1,0,38.6199219874626,59.7080208913987,137.1702555951
40,1,0,40.5099366551238,64.1504662578319,146.269790777284
41,1,0,40.4288251347782,59.0166233371232,140.28776118814
42,1,0,41.6122624871401,64.7455239768468,149.967174328315
43,1,0,44.0908512369283,66.7947691220636,153.727933075231
44,1,0,44.8373475185783,68.2016122845346,158.648347667441
45,1,0,44.349023227395,66.7160169894837,155.907352933118
46,1,0,46.3117148050812,71.1415520458191,165.062654715228
47,1,0,46.9178560721358,68.7733093456771,162.533478134052
48,1,0,47.2995993657892,71.9823748410425,168.89136207116
49,1,0,48.1091777197144,71.4104405026512,168.361930938605
50,1,0,48.8675885492387,72.4494843266112,172.926460740178
51,1,0,50.3244939674045,77.0765623178727,178.243369001516
52,1,0,52.1801987090342,77.5282057087385,183.317792282101
53,1,0,54.5501635504609,78.6047877205661,185.997263987266
54,1,0,54.8100630815367,81.30631271373,191.725763659595
55,1,0,53.9032457745092,82.2483134150584,190.993871905807
56,1,0,56.9147842884124,84.0389697294276,198.563141882168
57,1,0,56.1295163672483,86.8019032513554,199.773732334843
58,1,0,57.0357264943266,87.2126622062452,203.8577765649
59,1,0,58.1934733063743,89.146577135492,206.182363158105
60,1,0,63.0854559520221,89.3020467272507,213.996890543601
61,1,0,60.7803901247518,89.6679478380985,211.290650679089
62,1,0,61.9088591559393,94.0663850432382,219.584632063506
63,1,0,61.5381307008157,93.2714397657638,217.651883182818
64,1,0,61.5628707915799,94.60365433067,221.775912986578
65,1,0,65.3287363635534,97.4649155986573,227.63596467845
66,1,0,65.8238343260503,95.5934064656015,229.02662865598
67,1,0,66.1610382690845,102.237282066056,235.24063305138
68,1,0,69.3309089456281,101.430394493593,240.370691303549
69,1,0,68.5334246496736,102.848785642151,240.224523008063
70,1,0,68.2641604572306,105.553055587358,245.426603908917
71,1,0,69.7048563034017,105.678732848871,246.225901868512
72,1,0,69.985895575142,106.740798481763,250.336081921233
73,1,0,72.9741090692026,108.263432281474,254.079854066915
74,1,0,72.514737224299,111.537343731536,259.661468820163
75,1,0,75.4028151173114,116.149582936247,266.394710769797
76,1,0,74.9920010674032,113.032897450274,265.634286382006
77,1,0,77.6303185664847,115.850054732229,270.322686014953
78,1,0,78.4060509589564,116.957010719376,274.972449542661
79,1,0,78.7993059485764,121.339583668666,278.981202333481
80,1,0,77.5201063886673,118.993924504317,278.123418757312
81,1,0,82.7713078991459,122.762415015375,286.37603563076
82,1,0,82.8871384009268,125.242449896229,291.738976161484
